Pattern,Matches,Clue,Answer,Quality,Reviewed
sti_ulate,stimulate stipulate,,,,
pi_t,pint piet,,,,
g_ow,grow glow,,,,
cree_,creek creed creep creel,,,,
_erry,perry ferry berry terry merry,,,,
conve_er,conveyer convener,,,,
ro_t,root rout rost,,,,
_arotid,carotid parotid,,,,
curr_nt,current currant,,,,
wi_y,wily wiry,,,,
man_rial,manorial manurial,,,,
den_,deny dent,,,,
t_ll,tell till tall toll tull,,,,
enem_,enemy enema,,,,
hea_d,heard heald,,,,
de_our,devour detour,,,,
drea_y,dreary dreamy,,,,
a_ther,anther aether,,,,
ca_d,card cand,,,,
bi_ch,birch bitch,,,,
ma_le,maple maule,,,,
_ielding,yielding fielding wielding,,,,
las_ing,lasting lashing,,,,
g_uge,gauge gouge,,,,
c_ip,chip clip,,,,
le_n,lean leon,,,,
inc_ement,increment inclement,,,,
_uet,duet suet,,,,
y_w,yew yaw yow,,,,
_imber,timber limber,,,,
da_e,date dare dale dame dane dade daze,,,,
kal_,kali kale,,,,
bl_nk,blank blink,,,,
bu_,but buy bus bud bur bug bum bun,,,,
_ire,fire wire hire tire sire dire mire eire,,,,
_eta,beta seta zeta,,,,
po_r,poor pour,,,,
sc_re,score scare,,,,
s_em,seem stem,,,,
bas_l,basal basil,,,,
bur_t,burst burnt,,,,
tr_ss,truss tress,,,,
penn_,penny penna,,,,
for_ed,formed forced forked,,,,
s_ene,scene skene,,,,
reci_e,recipe recite,,,,
_nquire,inquire enquire,,,,
b_gger,bigger bugger,,,,
ja_e,jane jade,,,,
infinit_,infinite infinity,,,,
ve_a,vega vena veda,,,,
_ral,oral ural,,,,
wa_der,wander warder,,,,
tu_,tub tug tun tur tue tut,,,,
lai_,laid lain lair,,,,
_avern,tavern cavern,,,,
heade_,headed header,,,,
crea_e,create crease,,,,
guil_,guilt guild guile,,,,
_oo,too loo coo woo doo hoo moo,,,,
st_rk,stark stork,,,,
g_ut,gout glut,,,,
honorabl_,honorable honorably,,,,
m_ngo,mango mungo,,,,
radiu_,radius radium,,,,
sto_ing,stoping stowing,,,,
cut_er,cutter cutler,,,,
m_rge,merge marge,,,,
_ing,king ring wing sing ling ting ping ding bing ging,,,,
w_st,west wast,,,,
p_rt,part port pert,,,,
mis_,miss mist mise,,,,
li_ation,ligation libation,,,,
_rab,arab grab crab drab,,,,
po_ing,poking poling,,,,
b_n,ben ban bin bon bun,,,,
co_y,copy cozy cosy,,,,
inve_tor,investor inventor,,,,
cant_r,cantor canter,,,,
wel_,well weld welt,,,,
hear_,heart heard,,,,
fir_,fire firm,,,,
_east,least feast beast yeast,,,,
d_aper,draper diaper,,,,
_rag,drag crag brag,,,,
_hose,those whose chose,,,,
_osse,posse fosse,,,,
impu_e,impure impute,,,,
mu_ch,mulch munch,,,,
_ipolar,bipolar dipolar,,,,
came_,camel cameo,,,,
_oss,loss ross boss moss toss goss joss poss doss,,,,
_oof,roof hoof woof,,,,
_olly,folly molly holly jolly polly dolly,,,,
tribu_e,tribute tribune,,,,
f_x,fox fix,,,,
l_rk,lark lurk,,,,
_lump,plump slump clump,,,,
w_lter,walter welter,,,,
pr_y,pray prey,,,,
rin_,ring rind rink,,,,
ha_r,hair haar,,,,
o_r,our oar,,,,
m_lch,mulch milch,,,,
f_llow,follow fellow fallow,PI,Follow fellow,3.0,True
hurrie_,hurried hurries,,,,
me_h,mesh meth,,,,
sickl_,sickle sickly,,,,
_wl,owl awl,,,,
lo_m,loam loom,,,,
_uff,buff cuff duff puff tuff huff ruff muff,,,,
sof_,soft sofa,,,,
_arley,barley parley,,,,
wheele_,wheeler wheeled,,,,
a_ode,abode anode,,,,
sal_,sale salt,,,,
w_olly,wholly woolly,,,,
_ominate,dominate nominate,,,,
f_nnel,funnel fennel,,,,
s_immer,swimmer shimmer skimmer,,,,
exa_t,exact exalt,,,,
m_llet,millet mallet mullet,,,,
hea_th,health hearth,Fireplace vigor,Hearth health,3.0,True
liste_,listen lister,,,,
du_t,dust duct duet,,,,
_oke,coke joke woke yoke poke,,,,
n_vel,novel navel,,,,
slat_,slate slaty,,,,
gl_ss,glass gloss,,,,
flu_e,flute flume fluke,,,,
_erlin,berlin merlin,,,,
me_ge,merge menge,,,,
_arious,various carious,,,,
t_c,tic tac,,,,
gr_ss,gross grass,,,,
stea_y,steady steamy,,,,
g_g,gag gig gog,,,,
so_r,sour soar,,,,
te_,ten tea ted tee tew tek,,,,
_ol,col sol wol tol hol,,,,
_roll,troll droll,,,,
c_rium,cerium corium,,,,
pon_,pond pony pons,,,,
concer_,concern concert,,,,
_ural,rural mural aural dural,,,,
sh_ve,shave shove,,,,
_hey,they whey,,,,
stil_,still stile,,,,
gen_,gent gens,,,,
l_mb,lamb limb,,,,
v_rtex,vertex vortex,,,,
mo_ile,mobile motile,,,,
t_ad,toad trad,,,,
_odify,modify codify,,,,
mid_ay,midway midday,,,,
rud_,rude rudd,,,,
_ift,gift lift rift sift,,,,
b_ne,bone bene bane,,,,
s_ain,stain swain,,,,
_uilt,built guilt quilt,,,,
chea_,cheap cheat,,,,
s_aring,soaring sparing,,,,
impo_t,import impost,,,,
sur_,sure surf sura,,,,
bor_,born bore bord,,,,
p_pe,pipe pope pape,,,,
finishe_,finished finisher,,,,
sta_,stay star stab stag stal,,,,
towe_,tower towel,,,,
c_oak,cloak croak,,,,
pu_t,putt punt,,,,
_hick,thick chick,,,,
_ft,oft aft eft,,,,
_ve,ave eve,,,,
_ark,dark park mark bark lark hark wark,,,,
chan_e,change chance,,,,True
sta_le,stable staple,,,,
_astor,pastor castor,,,,
_ossy,mossy bossy,,,,
hor_,horn hore,,,,
r_ddy,ruddy roddy,,,,
wo_l,wool woll woul,,,,
_rain,brain train grain drain,,,,
_ardiness,hardiness tardiness,,,,
_erily,verily eerily,,,,
gor_,gore gory,,,,
c_n,can con,,,,
po_,pot pop poe pox pod poa poi,,,,
_eserve,reserve deserve,,,,
commen_,comment commend,,,,
eri_,eric erin,,,,
s_x,six sex sax,,,,
_arus,varus carus,,,,
_ich,rich mich sich wich,,,,
m_an,mean moan,,,,
flin_,flint fling,,,,
h_le,hole hale hile,,,,
_apel,lapel capel,,,,
co_d,cold cord cond,,,,
_rit,writ brit grit,,,,
abe_,abet abed,,,,
wh_ther,whether whither,,,,
c_te,cite cute cote cate,,,,
s_anty,scanty shanty,,,,
_ocking,rocking mocking cocking,,,,
_arm,farm warm harm,,,,
h_s,his has,,,,
kis_,kiss kish,,,,
_atting,batting matting,,,,
_oad,road load toad goad,,,,
_inger,finger singer ginger linger ringer,,,,
l_an,loan lean,,,,
venu_,venus venue,,,,
_ilder,wilder gilder,,,,
_ab,lab tab cab mab dab nab rab bab jab gab,,,,
ea_er,eager eater,,,,
_nwards,onwards inwards,,,,
gau_t,gaunt gault,,,,
_abu,babu tabu,,,,
_uck,luck buck duck suck tuck muck puck huck,,,,
levit_,levity levite,,,,
n_tting,netting nutting,,,,
bla_k,black blank,,,,
adver_,adverb advert,,,,
cro_t,croft croat,,,,
de_y,deny defy demy dewy,,,,
convey_r,conveyor conveyer,,,,
cro_k,crook crock croak,,,,
bl_cking,blocking blacking,,,,
s_ber,sober saber,,,,
mo_,mob mos mot mop moe mow moo moa,,,,
brahm_n,brahman brahmin,,,,
grand_a,grandma grandpa,,,,
f_ction,fiction faction,,,,
_eir,heir weir keir,,,,
pe_r,peer pear,,,,
scor_,score scorn,,,,
r_mp,ramp rump romp,,,,
p_co,paco poco,,,,
cu_t,cult curt,,,,
le_k,leak leek,,,,
r_th,ruth rath,,,,
ve_icular,vehicular vesicular,,,,
perc_,perch perce,,,,
ha_k,hawk hank hack hark,,,,
v_x,vex vox,,,,
_omer,homer comer,,,,
un_ound,unsound unbound,,,,
tit_e,title tithe,,,,
_ak,oak dak yak,,,,
s_uttle,shuttle scuttle,,,,
s_all,shall small stall,,,,
str_ke,strike stroke,,,,
_ept,kept sept wept,,,,
flori_,florid florin,,,,
_ude,rude nude dude,,,,
s_elly,shelly skelly,,,,
str_p,strip strap,,,,
b_ew,blew brew,,,,
_eeming,seeming teeming,,,,
secret_ry,secretary secretory,,,,
_eed,need seed feed deed reed weed heed meed leed,,,,
_lug,plug slug,,,,
_idder,bidder ridder,,,,
_lue,blue clue glue flue,,,,
a_ide,aside abide amide,,,,
_loud,cloud aloud,,,,
f_ery,fiery faery,,,,
po_er,power poker,,,,
mont_,month monte,,,,
sc_ld,scold scald,,,,
gi_t,gift gilt gist girt,,,,
sab_e,sable sabre,,,,
ris_,risk rise,,,,
_ours,hours yours,,,,
ric_,rich rice rick,,,,
de_ail,detail derail,,,,
_eference,reference deference,,,,
_azar,bazar lazar,,,,
p_th,path pith,,,,
plea_ing,pleading pleasing,,,,
dwel_,dwell dwelt,,,,
eth_l,ethyl ethel,,,,
_arp,harp warp carp,,,,
_ough,rough tough cough dough hough bough lough,,,,
_ammy,tammy mammy,,,,
_aughty,haughty naughty,,,,
fol_,folk fold,,,,
p_ow,plow prow,,,,
_if,lif gif,,,,
_ied,lied pied,,,,
sp_int,sprint splint,,,,
b_th,both bath,,,,
tighte_,tighter tighten,,,,
fo_k,folk fork,,,,
al_ay,allay alway,,,,
ex_ensive,extensive expensive,,,,
_rumble,crumble grumble,,,,
_ealthy,healthy wealthy,,,,
hai_,hair hail hain,,,,
_on,non son won con ton ion don yon bon gon eon kon fon oon,,,,
c_ipping,clipping chipping,,,,
d_m,dam dim dom,,,,
phen_l,phenol phenyl,,,,
pipe_,piper piped,,,,
s_lky,silky sulky,,,,
lo_ging,lodging logging longing,,,,
tol_,told toll,,,,
mu_ter,muster mutter,,,,
lo_ely,lovely lonely,,,,
_oreland,moreland foreland,,,,
shake_,shaken shaker,,,,
_owing,bowing mowing lowing,,,,
_andit,bandit pandit,,,,
f_yer,foyer flyer,,,,
_apillary,capillary papillary,,,,
p_r,per par pur,,,,
m_ddle,middle meddle muddle,,,,True
_resser,dresser presser,,,,
t_me,time tame tome,,,,
_hence,thence whence,,,,
s_ate,state slate skate spate,,,,
brea_,break bread bream,,,,
_nformed,informed unformed,,,,
le_d,lead lend lewd leed,,,,
cal_er,caller calmer,,,,
valenc_,valence valency,,,,
_lare,clare glare flare,,,,
foun_,found fount,,,,
wa_l,wall wail,,,,
rhin_,rhine rhino,,,,
tu_e,tube tune tule,,,,
pe_ty,petty peaty,,,,
_erve,serve nerve verve,,,,
_ethought,bethought methought,,,,
shir_,shirt shire shirk,,,,
inse_t,insert insect,,,,
b_llow,bellow billow,,,,
cl_pper,clipper clapper,,,,
salv_,salve salvo,,,,
_urr,burr curr purr,,,,
_amus,ramus camus,,,,
carbi_e,carbide carbine,,,,
l_aves,leaves loaves,Drops off dough,Leaves loaves,3.0,True
infla_e,inflate inflame,,,,
_ion,lion zion pion bion,,,,
can_y,candy canny,,,,
le_,let led lee leg les leo lea lex ley lew lep,,,,
rai_ing,raising railing,,,,
_ridge,bridge fridge,,,,True
cha_ger,charger changer,,,,
mi_t,mist mint mitt milt,,,,
_race,grace trace brace,,,,
_ilk,milk silk,,,,
steepl_,steeply steeple,,,,
_rump,trump crump,,,,
_educing,reducing seducing,,,,
mass_,masse massy,,,,
_iser,riser miser,,,,
c_d,cod cad cid cud,,,,
gene_ic,genetic generic,,,,
l_ud,loud laud,,,,
impu_ity,impurity impunity,,,,
_mpress,impress empress,,,,
ge_r,gear geer,,,,
dra_e,drake drape,,,,
grav_,grave gravy,,,,
_ena,lena vena,,,,
me_d,mead mend meed,,,,
le_ding,leading lending,,,,
f_eshly,freshly fleshly,,,,
_erb,verb herb kerb,,,,
_ibble,nibble dibble,,,,
pic_,pick pica,,,,
methodis_,methodist methodism,,,,
ro_y,rosy rory,,,,
tur_,turn turf turk,,,,
_ask,task mask cask bask,,,,
e_en,even eden,,,,
_riton,triton briton,,,,
me_al,metal medal,,,,
h_ng,hung hong hang heng,,,,
relevanc_,relevance relevancy,,,,
_oal,coal goal foal,,,,
dis_,disk disc dish,,,,
fl_er,flyer flier,,,,
th_u,thou thru,,,,
see_y,seely seedy,,,,
_ride,pride bride,,,,
sal_y,sally salty,,,,
_eeling,feeling keeling,,,,
employe_,employee employer,,,,
_arl,earl carl marl harl,,,,
deduc_,deduct deduce,,,,
ari_,arid aria,,,,
pulle_,pulled pulley puller pullet pullen,,,,
spi_er,spider spicer,,,,
_ar,war far car bar ear par mar tar jar lar oar gar,,,,
cher_y,cherry cherty,,,,
plun_er,plunder plunger,,,,
t_r,tor tar tur,,,,
co_lie,collie coolie,,,,
_oot,foot root boot moot soot loot hoot toot coot,,,,
pa_ser,passer parser,,,,
wh_rl,whorl whirl,,,,
ethe_,ether ethel,,,,
h_lly,holly hilly,,,,
revol_ing,revolving revolting,,,,
trus_,trust truss,,,,
d_er,deer dyer doer,,,,
j_n,jan jin,,,,
_oc,soc roc,,,,
lo_er,lower lover loser,,,,
stoppe_,stopped stopper,,,,
s_ocking,stocking shocking,,,,
_lad,glad clad,,,,
ave_,aver aves,,,,
kne_l,kneel knell,,,,
j_ss,jess joss,,,,
_love,glove clove,,,,
m_sk,mask musk,,,,
s_int,saint stint,,,,
dea_ly,deadly dearly,,,,
ra_t,raft rapt rant,,,,
signe_,signet signer,,,,
boa_,boat boar,,,,
sta_ed,stated stayed,Avowed and remained,Stated stayed,1.0,True
r_ft,raft rift,,,,
kindl_,kindly kindle,,,,
_ower,power lower tower dower bower mower sower,,,,
_iet,diet piet,,,,
sil_,silk silt sill silo,,,,
fro_t,front frost,,,,
s_ating,stating seating,,,,
_utty,putty nutty,,,,
sm_ll,small smell,,,,
lo_t,lost loft loot,,,,
gul_,gulf gull gulp,,,,
so_k,soak sock,,,,
f_ock,flock frock,,,,
en_ity,entity enmity,,,,
bri_e,bride brine bribe,,,,
b_de,bade bede bode bide,,,,
fl_ke,flake fluke,,,,
ous_,oust ouse,,,,
_asteful,wasteful tasteful,,,,
_ap,map gap cap tap lap sap pap rap nap hap yap dap fap,,,,
can_er,cancer canker canter,,,,True
gra_ed,grated graced,,,,
_urning,turning burning,,,,
sa_ly,sally sadly,,,,
n_n,non nun nin,,,,
brothe_,brother brothel,,,,
s_mpler,simpler sampler,,,,
unit_,unity unite,,,,
whiske_,whiskey whisker,,,,
learne_,learned learner,,,,
_ench,bench wench tench,,,,
sha_l,shall shawl,,,,
_ooker,hooker booker looker,,,,
g_aze,glaze graze,,,,
mo_ing,moving mowing,,,,True
s_irt,shirt skirt,,,,
_arker,parker marker barker,,,,
lo_,low lot los log loo lok lop loy lob,,,,
clea_er,clearer cleaner cleaver,,,,
con_ent,content consent convent,,,,
_aily,daily gaily,,,,
_now,know snow,,,,
_unny,funny sunny bunny gunny,,,,
s_unk,skunk slunk,,,,
plan_,plant plane plank,,,,
g_e,gee gre,,,,
car_e,carve carte,,,,
clin_,cling clink,,,,
cal_,call calm calf cali,,,,
m_dal,medal modal,,,,
intensi_y,intensity intensify,,,,
hea_,head heat hear heal heap,,,,
ha_el,hazel hamel,,,,
t_nt,tent tint tant,,,,
cl_p,clip clap,,,,
str_w,straw strew,,,,
pelvi_,pelvic pelvis,,,,
_omen,women nomen,,,,
br_nt,brent brunt brant,,,,
ev_l,evil eval,,,,
d_ze,daze doze,,,,
_ottery,pottery lottery,,,,
d_es,does dees,,,,
nice_y,nicely nicety,,,,
e_ict,edict evict,,,,
ho_,how hot hog hop hoe hoy hoo hod hob hol hoa,,,,
_ed,red led bed fed ted wed ged ped zed,,,,
bec_me,become became,,,,True
alg_l,algal algol,,,,
dos_,dose dost doss,,,,
l_s,los les las,,,,
mu_h,much mush,,,,
heave_,heaven heaves,,,,
a_id,acid amid arid avid,,,,
py_e,pyre pyne,,,,
wav_,wave wavy,,,,
d_cile,docile decile,,,,
lat_er,latter lather,,,,True
_att,matt watt,,,,
_edium,medium tedium,Mildly boring,Medium tedium,3.0,True
st_r,star stir stor,,,,
h_nd,hand hind,,,,
pa_lor,parlor pallor,,,,
p_rser,purser parser,,,,
sha_k,shark shank shack,,,,
compasse_,compasses compassed,,,,
pro_ane,profane propane,,,,
kn_ck,knock knack,,,,
hereo_,hereof hereon,,,,
vi_l,vial vill viol,,,,
squa_,squad squat squaw,,,,
_ny,any ony,,,,
_athe,lathe bathe,,,,
_oy,boy joy roy toy soy coy hoy foy loy,,,,
myopi_,myopia myopic,,,,
devou_,devout devour,,,,
sa_ine,saline sabine,,,,
several_y,severally severalty,,,,
he_der,header herder,,,,
humi_ity,humidity humility,,,,
chor_,chord chore,,,,
_rawn,drawn prawn brawn,,,,
mak_,make maki,,,,
tanni_,tannin tannic,,,,
li_eral,liberal literal,,,,
wil_ing,willing wilding,,,,
far_,farm fare faro,,,,
ba_,bad bar bay bag ban bat bac bam bab baa bah,,,,
kn_t,knot knit,,,,
d_ke,duke dyke dike,,,,
retai_,retail retain,,,,
_hus,thus rhus,,,,
_nde,inde unde,,,,
trea_le,treadle treacle,,,,
_ailed,mailed tailed,,,,
be_m,beam berm,,,,
pa_se,pause passe parse,,,,
h_rl,hurl harl,,,,
se_ge,serge sedge,,,,
fille_,filler fillet,,,,
t_rgum,targum tergum,,,,
plausibl_,plausible plausibly,,,,
popula_e,populace populate,,,,
de_s,deis dees,,,,
c_t,cut cat cit cot,,,,
_him,whim shim,,,,
fes_,fest fess,,,,
e_ude,etude elude,,,,
s_uffle,shuffle scuffle,,,,
take_,taken taker,,,,
fi_es,fides fives,,,,
l_gged,legged logged,,,,
accuse_,accused accuser,,,,
fun_y,funny funky,,,,
tra_,trap tray tram trad,,,,
on_s,ones onus,,,,
pea_e,peace pease,,,,
_il,oil nil til ail fil,,,,
de_,del den dew dev dey,,,,
_incing,mincing wincing,,,,
div_,dive diva,,,,
_oddy,roddy toddy,,,,
ma_ting,matting malting,,,,
l_ke,like lake luke,,,,
fron_,front frond frons,,,,
_abor,labor tabor,,,,
_ble,able ible,,,,
_awyer,lawyer sawyer,,,,
r_nner,runner renner,,,,
s_inner,skinner spinner,,,,
_illion,million billion,,,,
h_mmer,hammer hummer,,,,
ja_,jan jaw jay jar jam jag jab,,,,
pe_t,pest peat pent pert pelt,,,,
_ulp,pulp gulp,,,,
_acao,cacao macao,,,,
bel_e,belle belie,,,,
lu_,lug lux luz lum,,,,
_erminal,terminal germinal,,,,
_ebate,debate rebate,,,,
kin_,king kind kink kino kine,,,,
shi_t,shift shirt,,,,
safe_y,safety safely,,,,True
_orth,north forth worth,,,,
_otable,notable potable,,,,
sto_e,stone store stove stole stoke stope,,,,
pl_y,play ploy,,,,
carcas_,carcass carcase,,,,
w_rt,wort wert wart,,,,
pin_,pine pink pint ping,,,,
g_st,gist gust gest,,,,
_epute,repute depute,,,,
m_ll,mill mall moll mull mell,,,,
jo_e,joke jove,,,,
re_ress,redress repress regress,,,,
low_y,lowly lowry,,,,
sno_,snow snob,,,,
pu_h,push pugh,,,,
_ouge,rouge gouge,,,,
s_ein,stein skein,,,,
snar_,snare snarl,,,,
arm_,army arms,,,,
p_inting,printing painting pointing,,,,
li_n,lien lion,,,,
mo_es,moses mores,,,,
_ocal,local focal vocal,,,,
_ime,time lime dime rime mime,,,,
he_r,hear heir herr heer,,,,
mac_o,macao macho,,,,
_men,amen omen,,,,
more_,mores morel,,,,
wallo_,wallop wallow,,,,
t_nable,tenable tunable,,,,
p_aying,playing praying,,,,
di_per,diaper dipper,,,,
audibl_,audible audibly,,,,
fro_ted,fronted frosted,,,,
wa_n,warn wain,,,,
c_rse,curse corse,,,,
_ard,hard card ward yard lard bard gard,,,,
c_l,cal col,,,,
f_o,fro flo,,,,
thri_e,thrive thrice,,,,
s_it,suit slit spit smit,,,,
t_ump,trump thump,,,,
sh_lling,shilling shelling,,,,
fin_er,finger finder,,,,
cl_mp,clamp clump,,,,
pa_er,paper payer,,,,
p_d,pad pod ped pud,,,,
st_cky,sticky stocky,,,,
nea_ness,neatness nearness,,,,
ren_,rent rend,,,,
pa_sy,palsy pansy,,,,
abo_e,above abode,,,,
s_oop,scoop sloop stoop swoop,,,,
min_s,minus minos,,,,
s_tting,setting sitting,,,,
qu_d,quod quid quad,,,,
pa_k,park pack,,,,
ta_e,take tape tale tame tare,,,,
_eg,leg beg peg keg seg jeg,,,,
_rad,brad trad,,,,
repea_,repeat repeal,,,,
dec_dent,decedent decadent,,,,
stor_,story store storm stork,,,,
_range,orange grange,,,,
ba_ker,banker barker backer,,,,
aphasi_,aphasia aphasic,,,,
m_ssive,massive missive,,,,
_orrid,horrid torrid,,,,
_void,avoid ovoid,,,,
pa_able,payable parable,,,,
_mit,omit emit smit,,,,
r_ll,roll rill,,,,
_over,cover lover mover rover hover,,,,
t_e,the tie toe tee tue tye,,,,
_ent,cent went sent rent bent ment tent lent dent vent gent pent,,,,
ga_l,gall gaul gaol gael,,,,
co_ent,covent cogent,,,,
s_ender,slender spender,,,,
w_shing,washing wishing,,,,
_eady,ready heady,,,,
_nit,unit knit,,,,
r_nd,rand rend rind,,,,
_efine,define refine,,,,
b_ain,brain blain,,,,
olympia_,olympian olympiad,,,,
e_lipse,eclipse ellipse,,,,
gi_d,gild gird,,,,
_bject,object abject,,,,True
cove_,cover covet covey,,,,
ma_ly,manly madly marly,,,,
defi_e,define defile,,,,
win_ry,winery wintry,,,,
_urveyor,surveyor purveyor,,,,
_onad,gonad monad,,,,
gold_n,golden goldin,,,,
forge_,forget forger,,,,
t_ut,tout taut,,,,
thin_,think thing thine,,,,
_ackle,tackle hackle,,,,
_oundness,soundness roundness,,,,
cor_et,cornet corset,,,,
_urk,turk lurk,,,,
w_lder,wilder welder,,,,
r_mbling,rambling rumbling,,,,
f_ight,flight fright,,,,True
lo_p,loop loup,,,,
_rape,grape drape crape,,,,
pri_,prim pris,,,,
pla_,plan play plat,,,,
a_yl,acyl amyl,,,,
bles_,bless blest,,,,
in_ert,insert invert,,,,
_righten,frighten brighten,,,,
s_i,ski sai,,,,
co_,con cow col cox cor cod cop cot coo coy cob cog,,,,
do_s,does doss,,,,
p_ison,prison poison,,,,
buffe_,buffer buffet,,,,
_ipper,dipper ripper,,,,
l_tion,lation lotion,,,,
ra_ing,racing raging raking raving,,,,
acto_,actor acton,,,,
bu_n,burn bunn,,,,
c_ow,crow chow,,,,
s_ut,shut smut slut,,,,
dec_y,decay decoy decry,,,,
_ruel,cruel gruel,,,,
sl_t,slot slit slut slat,,,,
em_tion,emotion emption,,,,
a_h,ash ach,,,,
l_rry,larry lorry,,,,
mai_e,maine maize,,,,
_ithe,tithe lithe,,,,
_ch,ich ach,,,,
canto_,canton cantor,,,,
cl_m,clam clem,,,,
shu_,shut shun,,,,
_ailing,failing sailing mailing railing tailing,,,,
s_lon,salon solon,,,,
cro_e,crore crone,,,,
c_lt,cult colt celt,,,,
ro_d,road rood,,,,
_oundly,soundly roundly,,,,
we_k,week weak werk,,,,
e_press,express empress,,,,
_ooty,booty sooty,,,,
b_il,bail boil,,,,
_ecker,becker decker,,,,
_eem,seem deem,,,,
_urrow,furrow burrow,,,,
cli_k,click clink,,,,
lan_,land lane lang lank lant,,,,
_ace,face race lace mace,,,,
t_ne,tone tune tyne tine,,,,
_hereof,thereof whereof,,,,
gna_,gnat gnaw,,,,
di_t,diet dirt dint,,,,
spi_y,spicy spiny spiky,,,,
_umb,dumb numb,,,,
_otter,potter cotter,,,,
o_ation,oration ovation,,,,
dr_nk,drink drunk drank,,,,
_red,fred bred,,,,
_ush,bush push rush hush lush gush mush,,,,
ca_ton,canton carton caxton,,,,
_roop,troop droop,,,,
ga_,gas gap gay gan gar gag gad gat gam gab,,,,
_issing,missing hissing,,,,
b_al,baal beal,,,,
chlor_te,chlorite chlorate,,,,
proper_y,property properly,,,,
ste_d,stead steed,,,,
gre_t,great greet,,,,
fer_ent,fervent ferment,,,,
s_al,seal stal,,,,
offen_e,offense offence,,,,
s_ction,section suction,,,,
forme_,former formed,,,,True
p_op,prop poop,,,,
_idge,ridge midge,,,,
_ester,lester tester jester,,,,
tar_y,tarry tardy,,,,
ma_a,mama maya mara mala maha maia,,,,
mor_l,moral morel,,,,
_eeding,feeding weeding,,,,
pad_ock,paddock padlock,,,,
faste_,faster fasten,,,,
_rying,trying drying crying frying prying,,,,True
d_is,dais deis,,,,
croa_,croat croak,,,,
_alon,salon talon,,,,
to_e,tone tore tome tote,,,,
grou_,group grout,,,,
_oom,room boom doom loom,,,,
thr_sher,thresher thrasher,,,,
inten_,intent intend,,,,
c_opper,chopper cropper,,,,
_ecede,recede secede,,,,
fa_t,fact fast,,,,
nav_,navy nave,,,,
cop_er,copper copier,,,,
_anish,danish vanish banish,,,,
mo_t,most mont moot mort moat molt,,,,
_age,page wage sage rage gage cage mage,,,,
fa_l,fall fail,,,,
ba_h,bath bash,,,,
corte_,cortex cortes,,,,
_apping,lapping napping,,,,
t_rt,tort tart,,,,
sil_y,silly silty silky,,,,
_eaming,beaming teaming,,,,
_hee,thee ghee,,,,
cell_,cello cella,,,,
_ima,lima sima rima,,,,
co_k,cook cock cork,,,,
ve_icle,vehicle vesicle,,,,
bl_nder,blunder blender,,,,
l_ar,lear liar,,,,
_ype,type hype,,,,
p_rish,parish perish,,,,
b_and,brand bland,,,,
ext_nt,extent extant,,,,True
gen_e,genre genie,,,,
dia_,dial dian,,,,
p_ss,pass piss puss poss,,,,
_ault,fault vault sault gault,,,,
sul_y,sully sulky,,,,
_iring,firing wiring airing,,,,
v_lley,valley volley,,,,True
s_im,swim slim skim shim,,,,
ro_in,robin rosin,,,,
defe_t,defeat defect,,,,
forma_,formal format,Traditional layout,Formal format,3.0,True
sp_ed,speed spied,,,,
spen_er,spencer spender,,,,
lyn_,lynx lyne,,,,
_iddy,giddy biddy,,,,
glo_e,globe glove,,,,
bu_t,butt bust burt bunt,,,,
b_lly,billy belly bully,,,,
bi_d,bird bind,,,,
in_idious,insidious invidious,,,,
labore_,laborer labored,,,,
_emur,femur demur,,,,
slee_,sleep sleek sleet,,,,
d_w,dew dow daw,,,,
_anic,panic manic,,,,
d_uce,deuce douce,,,,
t_ckle,tackle tickle,,,,
r_pture,rupture rapture,,,,
_aving,having saving paving raving,,,,True
cir_us,circus cirrus,,,,
_eeth,teeth seeth,,,,
g_m,gum gem gam,,,,
a_ms,arms alms,,,,
_eedy,needy weedy reedy seedy,,,,
_ort,sort port fort tort mort wort,,,,
es_,est ese,,,,
p_aty,peaty platy,,,,
calend_r,calendar calender,,,,
_ixed,fixed mixed,,,,
tru_k,truck trunk,,,,
o_ster,oyster ouster,,,,
conf_rm,confirm conform,,,,
c_ink,chink clink,,,,
fi_th,fifth filth firth,,,,
d_rn,dorn darn,,,,
thron_,throne throng,,,,
_ipe,pipe ripe wipe,,,,
o_n,own orn oon,,,,
s_um,slum scum,,,,
bronch_,bronchi broncho,,,,
s_ap,soap snap swap slap,,,,
ly_,lye lyn,,,,
m_ne,mine mane mone,,,,
stal_ed,stalked stalled,,,,
ra_ble,rabble ramble,,,,
pisto_,piston pistol,,,,
mora_,moral moray,,,,
noo_,noon nook,,,,
_hen,when then,,,,
knel_,knelt knell,,,,
monoton_,monotony monotone,,,,
re_rieve,retrieve reprieve,,,,
cha_ing,chasing chafing,,,,
ra_id,rapid rabid,,,,
sto_,stop stow stor,,,,
am_ss,amiss amass,,,,
sul_,sulu sula,,,,
p_ed,pied pled,,,,
th_n,than then thin,,,,
sp_t,spot spit spat,,,,
legibl_,legible legibly,,,,
expir_,expire expiry,,,,
c_it,chit coit,,,,
_hipper,shipper chipper,,,,
_olitic,politic oolitic,,,,
ki_h,kith kish,,,,
_ulled,pulled hulled,,,,
ar_on,argon arson,,,,
_hilling,shilling chilling,,,,
_aternity,maternity paternity,,,,
co_ling,cooling codling,,,,
f_st,fast fist fest fust,,,,
ter_,term tern,,,,
_itric,nitric citric,,,,
_ccident,accident occident,,,,
